E/ECWA/SDHA/CONF.4/7/S	153872	NOT IN ODS
E/ESCWA/SDD/2009/WG.3/WP.1	682208	NOT IN ODS
E/ESCWA/2011/C.5/5	716855	IN ODS
E/ESCWA/ICTD/2004/WG.2/CRP.22	548765	NOT IN ODS
E/ESCWA/SD/2002/WG.2/6	491637	IN ODS
E/ESCWA/ED/2001/WG.3/9	468825	NOT IN ODS
E/ESCWA/16/3(PartI)/Add.7	189474	IN ODS
E/ESCWA/GRID/2003/22	514631	IN ODS
E/ECWA/SDHS/CONF.4/5/Rev.2	17768	NOT IN ODS
E/ESCWA/15/4/Rev.1	72499	IN ODS
E/ESCWA/TCD/1992/2	173370	IN ODS
E/ESCWA/TRANS/2000/5	440395	IN ODS
E/ESCWA/ID/1993/6	180099	IN ODS
E/ECWA/SDHS/CONF.4/INF.2	17077	IN ODS
E/ESCWA/AGR/2001/WG.1/7	466433	IN ODS
E/1992/34	171917	NOT IN ODS
E/ESCWA/ED/2001/WG.4/11	468637	IN ODS
E/ESCWA/SDD/2005/WG.2/INF.1	572081	IN ODS
E/ESCWA/SCU/2004/IG.1/3/Add.1	552371	IN ODS
E/ESCWA/SDD/2011/WG.5/3	718179	IN ODS
E/ESCWA/TRANS/1995/6	245954	IN ODS
E/ESCWA/C.1/14/10/Rev.1	189467	IN ODS
E/ESCWA/ECW/2011/IG.1/4	719105	IN ODS
E/ESCWA/SDPD/2003/WG.5/8	507506	IN ODS
E/ESCWA/TRANS/2001/WG.1/7	463497	IN ODS
E/ESCWA/GRID/2003/WG.1/5	520788	IN ODS
E/ESCWA/ENR/1999/WG.2/12	411124	IN ODS
E/ESCWA/AGR/1994/1	217761	IN ODS
E/ECWA/ID/WG.4/INF.2	92164	NOT IN ODS
E/ESCWA/22/INF.3	499116	IN ODS
E/ESCWA/GRID/2005/IG.2/5	553407	IN ODS
E/ESCWA/TRANS/1999/WG.1/18	405887	IN ODS
E/ESCWA/ECRI/2013/4	802117	IN ODS
E/ESCWA/SD/2002/WG.1-I/CP.8	474390	NOT IN ODS
E/ESCWA/RES/204(XVIII)	209262	NOT IN ODS
E/ESCWA/AGR/1999/WG.1/7	404214	IN ODS
E/ECWA/114	14716	IN ODS
E/ESCWA/SDPD/2005/WG.4/18	572354	IN ODS
E/ESCWA/ICTD/2008/5	636847	IN ODS
E/ESCWA/ICTD/2004/WG.2/CRP.6	548388	NOT IN ODS
E/ESCWA/C.1/21/6/Add.6	446827	IN ODS
E/ESCWA/C.1/20/7/Add.4/Rev.2	351640	IN ODS
E/ESCWA/ED/1998/4	259756	IN ODS
E/ESCWA/SDPD/2003/WG.2/4	497068	IN ODS
E/ESCWA/TRANS/1997/3	271524	IN ODS
E/ESCWA/SDD/2004/WG.4/11	552916	IN ODS
E/ESCWA/STAT/2000/WG.1/CP.3	437461	NOT IN ODS
E/ESCWA/OES/2003/Iraq	504795	IN ODS
E/ESCWA/ID/87/14	156895	IN ODS
E/ESCWA/POP/1992/6	176679	IN ODS
E/ESCWA/TRANS/1999/WG.2/CP.1	405972	IN ODS
